Designator,Mid X,Mid Y,Rotation,Layer
D10,69.530521,-85.096292,6.0,bottom
D11,67.82352,-102.024293,6.0,bottom
D12,66.046519,-118.909291,6.0,bottom
D13,90.083956,-84.229389,10.0,bottom
D14,87.168956,-100.966388,10.0,bottom
D15,84.197957,-117.706389,10.0,bottom
D17,108.119758,-91.636384,12.0,bottom
D18,104.519756,-108.261385,12.0,bottom
D19,101.044756,-124.911384,12.0,bottom
D20,98.031384,-131.224244,282.0,bottom
D22,125.694755,-95.386385,12.0,bottom
D23,122.169756,-112.011385,12.0,bottom
D24,118.644757,-128.65,12.0,bottom
D25,120.035384,-135.948243,282.0,bottom
D26,161.350001,-98.149999,168.0,bottom
D27,164.825002,-114.775,168.0,bottom
D28,168.405243,-131.411384,168.0,bottom
D29,168.399638,-138.46615,258.0,bottom
D32,175.775001,-95.100001,168.0,bottom
D33,179.274998,-111.725,168.0,bottom
D34,182.8,-128.325,168.0,bottom
D35,201.975616,-131.319244,258.0,bottom
D36,196.692045,-86.569389,170.0,bottom
D37,199.648,-103.305,170.0,bottom
D38,202.575045,-120.051388,170.0,bottom
D39,217.045481,-86.516292,174.0,bottom
D40,218.836,-103.426001,174.0,bottom
D41,220.591482,-120.333293,174.0,bottom
D44,238.428,-89.979,180.0,bottom
D45,238.407,-106.973999,180.0,bottom
D46,238.404,-123.969,180.0,bottom
D47,232.5,-131.243,270.0,bottom
D5,48.190001,-89.998999,0.0,bottom
D6,48.199999,-106.981,0.0,bottom
D7,48.2,-123.988,0.0,bottom
D8,71.753,-131.234,270.0,bottom
J1,149.999999,-97.836001,270.0,top
RSW1,115.679,-141.651,78.0,top
RSW2,184.319598,-141.651,282.0,top
SW10,95.238977,-92.948422,10.0,bottom
SW11,92.28695,-109.690151,10.0,bottom
SW12,116.459388,-83.900613,12.0,bottom
SW13,112.924881,-100.529116,12.0,bottom
SW14,109.390374,-117.157656,12.0,bottom
SW15,104.712397,-139.165948,12.0,bottom
SW16,134.066029,-87.64297,12.0,bottom
SW17,130.531521,-104.271514,12.0,bottom
SW18,126.997063,-120.900017,12.0,bottom
SW19,126.720737,-143.843973,12.0,bottom
SW2,54.750001,-80.666443,0.0,bottom
SW20,165.933926,-87.643032,348.0,bottom
SW21,169.468424,-104.271541,348.0,bottom
SW22,173.002937,-120.900049,348.0,bottom
SW23,173.279287,-143.843962,348.0,bottom
SW24,183.540588,-83.900609,348.0,bottom
SW25,187.075084,-100.52912,348.0,bottom
SW26,190.609579,-117.157629,348.0,bottom
SW27,195.2876,-139.165953,348.0,bottom
SW28,201.809014,-76.206687,350.0,bottom
SW29,204.761026,-92.948414,350.0,bottom
SW3,54.749999,-97.666442,0.0,bottom
SW30,207.713051,-109.690148,350.0,bottom
SW31,222.884343,-76.543461,354.0,bottom
SW32,224.661327,-93.450333,354.0,bottom
SW33,226.43831,-110.357201,354.0,bottom
SW34,245.25,-80.666443,0.0,bottom
SW35,245.249999,-97.666442,0.0,bottom
SW36,245.249999,-114.666443,0.0,bottom
SW37,240.749999,-137.166445,0.0,bottom
SW4,54.75,-114.666444,0.0,bottom
SW5,59.250001,-137.166443,180.0,bottom
SW6,77.115636,-76.543458,6.0,bottom
SW7,75.338667,-93.450369,6.0,bottom
SW8,73.561691,-110.357235,6.0,bottom
SW9,98.191012,-76.206689,10.0,bottom
